21/04/2010,Building Mobile Applications,,,,
,Building Mobile Applications,Earle Castledine,@mrspeaker,,
19/05/2010,,,,,
16/06/2010,,,,,
,Github for JavaScripters,Lachlan Hardy,@lachlanhardy,http://www.slideshare.net/lachlanhardy/github-for-javascripters,
,Architecting JavaScript Applications,Julio Cesar Ody,@julio_ody,http://sydjs-architecting.heroku.com/,
21/07/2010,,,,,
,CoffeeScript,Gabe Hollombe,@gabehollombe,,
,NodeJS,Jared Wyles,@rioter,,
18/08/2010,,,,,
,Regular Expressions,Scott Hughes,,,
,Traits in JavaScript,Patrick Lee,@boundvariable,,
16/09/2010,,,,,
,YUI3 and custom components,Nathanael Shergold,,,
,Types in JavaScript,Steve Haffenden,@SMHaffenden,,
,Sammy.js,,,,
13/10/2010,JavaScript library discussion panel (Web Week special),,,http://blog.pamelafox.org/2010/10/sydjs-javascript-libraries-panel.html,
,Raphaël,"Dmitry Baranovskiy, Sencha",@DmitryBaranovsk,,
,jQuery,"Julio Cesar Ody, Awesome By Design",@julio_ody,,
,YUI 2,"Matthew Sain, Yahoo!7",,,
,YUI 3,"Tom Hughes Croucher, Yahoo!",@sh1mmer,,
,Maps API,"James McGill, Google",,,
,Closure,"Dan Nadasi, Google",@DanialNadasi,,
,Sencha,"Evan Trimboli, Sencha",,,
,AUI,"Jared Wyles, Atlassian",@rioter,,
17/11/2010,,,,,
,Web Directions South Title Sequence,    Cameron Adams,@themaninblue,,"http://www.themaninblue.com/experiment/wds10/
http://themaninblue.com/writing/perspective/2010/10/18/"
,Making the Most of Tail Calls,    Erik de Castro Lopo,,http://www.mega-nerd.com/erikd/Blog/CodeHacking/fp-tail-js.html,https://github.com/spencertipping/js-in-ten-minutes/
15/12/2010,,,,,
,Sammy.js,    Steve Haffenden,@SMHaffenden,,
,Functional Programming,    Jared Wyles,@rioter,,
,Setting up a Framework,    Aaron Powell,@slace,http://www.aaron-powell.com/sydjs-javascript-frameworks,
,Demystifying Prototype!,    Dmitry Baranovskiy,@DmitryBaranovsk,http://www.slideshare.net/Dmitry.Baranovskiy/demystifying-prototypes-6183470,
19/01/2011,,,,,
,Practical Guide to WAI-ARIA,    Sam Dwyer,,,
,Impact.js,    Chris Darroch,@chrisdarroch,,
,Working with SydJS.com,    Lachlan Hardy,@lachlanhardy,http://slideshare.net/lachlanhardy/sydjscom,
16/02/2011,,,,,
,Deploying Node.js & Staying Sane,    Micheil Smith,@miksago,http://www.slideshare.net/miksago/sydjs-deploying-nodejs-and-staying-sane,
,"BLAM … Beautify, Lint, And Minify your JavaScript",    Mikkel Bergmann,,,https://github.com/jsguy/blam
,WebGL – How it all works,    Jarrad Hope,@wtfking,http://www.slideshare.net/wtfking/sydjs-talk,"http://learningwebgl.com/
https://github.com/mrdoob/three.js/"
16/03/2011,,,,,
,Node.js and Windows and getting it right,Tatham Oddie,@tathamoddie,http://blog.tatham.oddie.com.au/2011/03/16/node-js-on-windows/,
,Giving your JavaScript a little Backbone.js,Julio Cesar Ody,@julo_ody,http://backbone-dot-js-intro.heroku.com/,
,Raphaël 2.0 RC,Dmitry Baranovskiy,@DmitryBaranovsk,,
20/04/2011,,,,,
,Archers vs Zombies! ~ Making games with EaselJS,Gabe Hollombe,@gabehollombe,http://avz-preso.heroku.com/,
,Special guest talk,Dave Thomas,,,
,"ShareJS (Stop, Collaborate, and Listen)",Joseph Gentle,"@josephgentle
@sharejslib",,http://sharejs.org
18/05/2011,,,,,
,Refactor wars,Ben Buchanan (and others),@200ok,http://isitlaksatimeyet.200ok.com.au/refactor,http://weblog.200ok.com.au/2011/06/one-script-seven-ways.html
,An introduction to OWASP,Paul Theriault,,,http://owasp.org
,Modelling a view of the Model View ViewModel,Filippo Vitale,@filippovitale,,
15/06/2011,Looking behind the curtain of jQuery,,,,
,Looking behind the curtain of jQuery (2 parts),Jared Wyles,@rioter,,
20/07/2011,,,,,
,Adding a little shine to your Chrome,William Parry,@williamparry,,
,An introduction to HaXe,Dean Burge and David Peek,"@DeanBurge
@DavidPeek",http://ui.massive.com.au/talks/,
17/08/2011,,,,,
,Logging and Plumbing - Building a custom interface with jQueryUI and Raphaël,Simon Swain,@psi6030,,https://github.com/psi6030/Lugging-and-Plugging
,Offline apps with HTML5,John Allsopp,@johnallsopp,http://westciv.com/presentations_john/sydjs-appcache/appcache-presentation.html,
21/09/2011,,,,,
,"Everyone loves strings, an introduction",Steve Haffenden,@SMHaffenden,http://www.yushchenko.name/videos/2011/09/sydjs,
,Making testing less testing with Sinon.js,Chris Darroch,@chrisdarroch,http://www.yushchenko.name/videos/2011/09/sydjs,
,What next for WebOS?,Dominic Lovell,@dominiclovell,http://www.yushchenko.name/videos/2011/09/sydjs,
,A modern tea ceremony powered by Node.js,Valery Yushchenko,@vyushchenko,http://www.yushchenko.name/videos/2011/09/sydjs,
12/10/2011,"Location, location, location (Web Week special)",,,,
,New Zealand,Walter Rumsby,@wrumsby,,
,San Francisco,Pamela Fox,@pamelafox,http://tinyurl.com/sydjspamela,
,Everywhere,Jared Wyles,@rioter,,
,Brisbane,Damon Oehlman,@DamonOehlman,,
,Paris,Earle Castledine,@mrspeaker,,
,Berlin,Tim Lucas,@toolmantim,,
16/11/2011,Atlassian All Stars,,,,
,An introduction to numbers,Steve Haffenden,@SMHaffenden,,
,A walk through JavaScript's event-driven model,Jonathan Creenaune,,,
,AltJS - languages that compile to JS,Brian McKenna,@puffnfresh,http://brianmckenna.org/files/presentations/sydjs-altjs/,http://brianmckenna.org/blog/sydjs_presentation_altjs
,Inside large scale applications,Adam Ahmed,@hitsthings,,
,Getting loud about Amplify.js,Wesley Walser,@wewals,"http://amplifyjs.com/events/2011/03/webinar/
http://www.slideshare.net/appendTo/introducing-amplify",
21/12/2011,,,,,
,Booleans: An introduction,Steve Haffenden,@SMHaffenden,,
,Bringing the Awesome with Kendo UI,John Bristowe,@JohnBristowe,,
,Everything you wanted to know about Dart but were too afraid to ask,Graeme Merrall,@dasfreak,,
,Zero to W3C in < 400 days,Ben Schwartz,@benschwartz,,
18/01/2012,,,,,
,Ease yourself into animation,Gilmore Davidson,@iamnotyourbroom,http://gilmoreorless.github.com/sydjs-preso-easing/,
,Windows 8 - JavaScript ALL the things,Nick Hodge & Brendan Forster,"@NickHodgeMSFT
@shiftkey",,"http://dev.windows.com
https://github.com/shiftkey/winjs-todo"
,Missing the Forest for the trees,Jared Wyles,@rioter,,
15/02/2012,,,,,
,Porting a 2D physics engine to JavaScript,Joseph Gentle,@josephgentle,,
,Using a state machine in JS games,Simon Dobie,,http://prezi.com/tiimqjkc_wfv/some-js-game-dev-methods/,
,Multiplayer networking,Gabe Hollombe (via Skype),@gabehollombe,,
21/03/2012,,,,,
,Deadlines & deprecation - jQuery you can't see,Earle Castledine (via Skype),@mrspeaker,,
,Ninja Blocks,Marcus Schnappi & Mark Wotton,"@schnappi
@mwotton",,
18/04/2012,,,,,
,Now you've got two problems... Live data with Node.js and Redis,Simon Swain,@psi6030,,
,Big and Beautiful: Data Viz with WebSockets and WebGL,Chris Broadfoot,@broady,,
,Homebrew,Mike McQuaid,@MikeMcQuaid,,
16/05/2012,,,,,
,"From Way Out Wars and Dodo GoGo, and everything I've learnt between",Vaughan Knight,@VaughanKnight,,
,"Boot to Gecko (B2G): Pursuing the goal of building a complete, standalone operating system for the open web",Rob Hawkes,@robhawkes,,
20/06/2012,,,,,
,Project Euler 208 - How to love javascript enough you'll even want to solve a math problem,Filippo Vitale,@filippovitale,,
,OAuth - Now that's something we can all identify with,Andrew Dodson,@mr_switch,,
,Template sharing between the server and the client with node.js and Hogan,Dave Elkan,@edave,,
18/07/2012,,,,,
,Testing like a boss,Jo Cranford,@jocranford,http://www.slideshare.net/jocranford/testing-javascriptwithjasmine-sydjs,
,Power and Flexibility - the BlackBerry Web Platform,Chris Saunders,,,
15/08/2012,,,,,
,Making a scott free Ski Free,Sugendran Ganess,@sugendran,,https://github.com/sugendran/ski-gratis
,Touching on Sencha Touch,Valery Yushchenko,@vyushchenko,https://github.com/yushchenko/sencha-touch-talk-at-sydjs,
,There I fixed it!,David Banham,@davidbanham,http://revealjs.jit.su/fixed.html,
13/09/2012,YOW! Night special,,,,
,ShareJS: Let's delete the save button,Joseph Gentle,@josephgentle,,http://sharejs.org/
,Nodelay,Sam Gentle,@sgentle,,
,The Quest for Reusable JS,Damon Oehlman,@DamonOehlman,,
17/10/2012,Web Week special,,,,
,Sharpening the edge of your HTML5,Jared Wyles,@rioter,,
,Liking performance,Stoyan Stefanov,@stoyanstefanov,,
,A history of JavaScript,Douglas Crockford,,,
21/11/2012,,,,,
,Controlling a NodeCopter in Sydney from Berlin,Felix Geisendörfer,@felixge,,https://github.com/felixge/node-ar-drone
,"Nodebots, Nodecopters, and now Ninja Blocks",Dan Friedman,@danfriedman,,
19/12/2012,,,,,
,"IE10: web, phone and native apps",Nick Hodge & Lachlan Hardy,"@NickHodgeMSFT
@lachlanhardy",,
,Surviving the Mayan Apocalypse with Kendo UI,John Bristowe,@JohnBristowe,,
16/01/2013,,,,,
,"Sup, AngularJS?",Glen Maddern,@glenmaddern,http://melbjs-preso.angularftw.com/,https://github.com/geelen/melbjs-demo
,"Something, something, TypeScript",Aaron Powell,@slace,http://aaronpowell.github.com/talks/typescript/,
,The Joy of AngularJS,John Scott,,,
20/02/2013,Atlassian special,,,,
,"WebRTC: Look Ma, no Flash",Gilmore Davidson,@iamnotyourbroom,http://gilmoreorless.github.com/sydjs-preso-webrtc/,
,Undefined,Chris Darroch,@chrisdarroch,http://www.chrisdarroch.com/presentations/2013/02/sydjs/,
,Real world Node.JS drones,Adam Ahmed,@typesthings,,
,Building a debugger/disassembler in JavaScript,Alex Dickson,@alexdickson,,
20/03/2013,Lightning talks night,,,,
,Angular vs Backbone,Julio Cesar Ody,@julio_ody,,
,,Diane Cotterill,@dmcotter,,
,Learning from failure,Sugendran Ganess,@sugendran,,
,,Simon Swain,@psi6030,,
,Web Speech API,Gilmore Davidson,@iamnotyourbroom,,
,ARIA,Ben Buchanan,@200okpublic,,
,Node.js chat server,Damon Oehlman,@DamonOehlman,,
17/04/2013,SydJS turns 3: JS Libraries revisited,,,,
,jQuery,Earle Castledine,@mrspeaker,,
,YUI,Jason Crane,@snapperwolf,,
,Pure JavaScript,Cameron Adams,@themaninblue,,
15/05/2013,,,,,
,Typesafe: Play-ing with WebJars,Christopher Hunt,,,
,Lovely.io,Nikolay Nemshilov,,,
19/06/2013,,,,,
,JavaScript based ERP,Mark Bryers,,http://mydigitalstructure.com/community_js,
,"I18n - why, how, and where the name came from",Simon Rodwell,,,
,"WebGL, the Goo Engine, and your Blackberry",Christopher Saunders,,,
,Jenkins-CI & JavaScript,Michael Neale,@michaelneale,,
,The future is a promise,Patrick Roumanoff,@pkr2,http://www.developer-training.com.au/promise/,
17/07/2013,,,,,
,Building an HTML5 security camera LIVE in under 15 minutes,John Allsopp,@johnallsopp,,http://www.webdirections.org/blog/build-a-motion-activated-security-camera-with-webrtc-canvas-and-device-orientation/
,Server Side JS - building a game right before your eyes,Don Nguyen,,,
,"Ben built an application, and will show you what he learnt",Ben Schwartz,@benschwartz,,
21/08/2013,,,,,
,Everything you wanted to know about IE11,Aaron Powell,@slace,,
,Breaking up with JavaScript - A tragic love story,Vaughan Knight,@vaughanknight,,
25/09/2013,,,,,
,"DocPad - How, when, where, and why",Benjamin Lupton,@balupton,,
,"Rant, Rant, Rant (lightning talk)",Damon Oehlman,@DamonOehlman,,
,Deploy Your Node - IaaS and PaaS players from a NodeJS perspective,David Banham,@davidbanham,,
,JavaScript and CSS - Totally changing the course of human history,Nikolay Nemshilov,,,
23/10/2013,JavaScript Weekly Lightning Talks,,,,
,Static isn't a dirty word,Ben Buchanan,@200ok,,
,Develop in the browser with Chrome DevTools,Gilmore Davidson,@iamnotyourbroom,,
,asm.js,Jared Wyles,@rioter,,
,,Benjamin Lupton,@balupton,,
,,Patrick Roumanoff,@pkr2,,
,,Aaron Powell,@slace,,
,,Filippo Vitale,@filippovitale,,
,,Damon Oehlman,@DamonOehlman,,
,FastClick and FastActive,Sean Curtis,@seancurtis,,
